Assembly Accession	Organism Name	Organism Taxonomic ID
GCA_963281255.1	Aphrocallistes beatrix	398365
GCA_963513935.1	Aphrophora alni	295201
GCF_029169275.1	Apis cerana	7461
GCF_003254395.2	Apis mellifera	7460
GCA_918807975.1	Aplidium turbinatum	2771288
GCA_921293045.1	Aplocera efformata	934917
GCA_964260645.1	Aplocera praeformata	934918
GCA_017639675.1	Aplochiton taeniatus	946358
GCA_949841015.1	Aplysina aerophoba	289389
GCA_964270515.1	Aplysina insularis	289402
GCA_947579745.1	Apocheima hispidaria	722657
GCA_946406115.1	Apoda limacodes	287200
GCA_964023405.1	Apodemus agrarius	39030
GCF_947179515.1	Apodemus sylvaticus	10129
GCA_911728435.2	Apoderus coryli	201766
GCA_964211915.1	Apogon imberbis	357811
GCA_009739505.2	Apolygus lucorum	248454
GCA_947044815.1	Apomyelois bistriatella	1666458
GCA_912999735.1	Aporia crataegi	129397
GCA_932294355.1	Aporophyla lueneburgensis	1337163
GCA_947507805.1	Aporophyla nigra	988065
GCA_037975245.1	Apostichopus japonicus	307972
GCA_932273695.1	Apotomis betuletana	1100915
GCA_947623375.1	Apotomis capreana	989741
GCA_905147355.2	Apotomis turbidana	1100916
GCA_949987775.1	Aproaerema taeniolella	2566309
GCF_036417845.1	Apteryx mantelli	2696672
GCF_020740795.1	Apus apus	8895
GCA_042186555.1	Aquarana catesbeiana	8400
GCA_035610365.1	Aquatica leii	1421715
GCF_900496995.4	Aquila chrysaetos chrysaetos	223781
GCA_028858755.1	Ara ararauna	9226
GCA_963662175.1	Aradus depressus	1452771
GCA_964258735.1	Araschnia levana	171575
GCA_963669155.1	Arbacia lixula	7640
GCA_964261245.1	Arca noae	44597
GCA_023079485.1	Archilochus colubris	190676
GCA_947859365.1	Archips crataeganus	1857967
GCA_964237515.1	Archips podanus	2655036
GCA_947563465.1	Archips xylosteana	1100919
GCA_014843695.1	Archivesica marissinica	2291877
GCF_007364275.1	Archocentrus centrarchus	63155
GCA_964264495.1	Arctia caja	289281
GCA_028646355.1	Arctocephalus townsendi	161921
GCA_964260595.1	Arctogadus glacialis	185735
GCA_963971305.1	Arcuatula senhousia	1954227
GCA_964019135.1	Arenicola marina	6344
GCA_963969455.1	Arge pagana	1384777
GCA_951799395.1	Argentina silus	446415
GCF_947563725.1	Argiope bruennichi	94029
GCF_041381155.1	Argopecten irradians	31199
GCA_033884665.1	Argynnis bischoffii washingtonia	2798589
GCA_964264515.1	Argynnis paphia	171802
GCA_963942445.1	Argyra leucocephala	377538
GCA_963457715.1	Argyresthia albistria	1492915
GCA_949825045.1	Argyresthia goedartella	572725
GCA_040802145.1	Argyrosomus japonicus	448029
GCA_946959425.1	Argyrosomus regius	172269
GCA_964291195.1	Arhopalus rusticus	256647
GCF_905147365.1	Aricia agestis	91739
GCA_937612035.1	Aricia artaxerxes	91738
GCA_964338945.1	Aricia morronensis	1107572
GCA_964270965.1	Aricia nicias	689501
GCA_020796225.1	Arion vulgaris	1028688
GCA_040285775.1	Arma chinensis	763200
GCA_037127475.1	Arma custos	291269
GCF_024139115.2	Armigeres subalbatus	124917
GCA_042242115.1	Arripis georgiana	3352246
GCF_032884065.1	Artemia franciscana	6661
GCA_027921565.1	Artemia sinica	112780
GCA_964204695.1	Arthaldeus pascuellus	1655869
GCA_038363225.1	Artibeus intermedius	51014
GCA_038363175.2	Artibeus lituratus	27634
GCF_011762505.1	Arvicanthis niloticus	61156
GCA_011762505.2	Arvicanthis niloticus	61156
GCF_903992535.2	Arvicola amphibius	1047088
GCA_042257475.1	Asaccus caudivolvulus	886391
GCA_040206685.1	Ascaphus truei	8439
GCA_013433145.1	Ascaris suum	6253
GCA_947561715.1	Ascidia mentula	38561
GCA_963924565.1	Ascidiella aspersa	201961
GCA_043727835.1	Aselliscus stoliczkanus	188568
GCA_964212115.1	Asellus aquaticus	92525
GCA_963576565.1	Aspidapion aeneum	877730
GCA_964188165.1	Aspilapteryx tringipennella	1594445
GCA_023376895.1	Aspiorhynchus laticeps	748366
GCF_900246225.1	Astatotilapia calliptera	8154
GCA_900246225.5	Astatotilapia calliptera	8154
GCA_032118995.1	Asterias amurensis	7602
GCF_902459465.1	Asterias rubens	7604
GCA_964213155.1	Asterina phylactica	195879
GCA_949699075.1	Asteroscopus sphinx	988069
GCA_963971285.1	Astropecten irregularis	55651
GCA_964277075.1	Astrospartus mediterraneus	691888
GCF_023375975.1	Astyanax mexicanus	7994
GCA_905333075.3	Atethmia centrago	988071
GCA_963978495.1	Athalia circularis	362093
GCA_963932425.1	Athalia cordata	1170485
GCF_917208135.1	Athalia rosae	37344
GCA_958298945.2	Atherix ibis	2025112
GCA_033675125.1	Athetis lepigone	1223490
GCA_947532105.1	Athrips mouffetella	1101086
GCA_947579605.1	Athripsodes cinereus	446526
GCA_043380575.1	Atractosteus spatula	7917
GCA_030370435.1	Auanema freiburgensis	1963013
GCA_964057225.1	Auanema rhodensis	473160
GCA_028453695.1	Augochlora pura	115077
GCA_028455555.1	Augochlorella aurata	586896
GCA_039566865.1	Aurelia coerulea	1962980
GCA_964020215.1	Aurelia sp. 3 sensu Dawson et al. (2005)	237398
GCA_964019985.1	Aurelia sp. 4 Dawson et al 2005	2790877
GCA_964264225.1	Autographa bractea	987891
GCA_905146925.1	Autographa gamma	254363
GCA_905475315.1	Autographa pulchrina	987893
GCA_963931865.1	Axinella damicornis	72671
GCA_964261215.2	Axinella polypoides	12959
GCA_026413565.1	Aythya baeri	1177618
GCA_042478095.1	Aythya ferina	219593
GCF_009819795.1	Aythya fuligula	219594
